id,year,tm,fired,proba
AlleDe0,2012,OAK,0,0.47851176400888323
AlleDe0,2013,OAK,0,0.5882117211043515
AlleDe0,2014,OAK,1,0.6708001089964444
AlleDe0,2022,NOR,0,0.49776464740911325
AlleDe0,2023,NOR,0,0.23766772830255908
AlleDe0,2024,NOR,1,0.6744499447930798
AlleGe0,1970,RAM,1,0.4105659168523039
AlleGe0,1971,WAS,0,0.06849312503780557
AlleGe0,1972,WAS,0,0.057050047534989635
AlleGe0,1973,WAS,0,0.076638320580092
AlleGe0,1974,WAS,0,0.2320659650320803
AlleGe0,1975,WAS,0,0.13877192779616954
AlleGe0,1976,WAS,0,0.07592228309163492
AlleGe0,1977,WAS,1,0.2376960698989657
AriaBr0,2013,ARI,0,0.11410054023609842
AriaBr0,2014,ARI,0,0.0996177734964491
AriaBr0,2015,ARI,0,0.11066408485281264
AriaBr0,2016,ARI,0,0.3892781739165688
AriaBr0,2017,ARI,0,0.5630876563196028
AriaBr0,2019,TAM,0,0.24722768768822387
AriaBr0,2020,TAM,0,0.1288107002070252
AriaBr0,2021,TAM,0,0.09941042109857985
ArmsNe0,1978,CHI,0,0.33912085880083653
ArmsNe0,1979,CHI,0,0.1746921540955427
ArmsNe0,1980,CHI,0,0.39295009946587084
ArmsNe0,1981,CHI,1,0.7800486251323779
ArnsBi0,1974,NYG,0,0.47430450695696036
ArnsBi0,1975,NYG,1,0.6093153798786042
AustBi0,1970,WAS,1,0.6824419897577784
BeliBi0,1991,CLE,0,0.285707236432395
BeliBi0,1992,CLE,0,0.43698471642044784
BeliBi0,1993,CLE,0,0.32637035345855897
BeliBi0,1994,CLE,0,0.0800172317887999
BeliBi0,1995,CLE,1,0.46720354142396436
BeliBi0,2000,NWE,0,0.33980307466785487
BeliBi0,2001,NWE,0,0.059455806762910596
BeliBi0,2002,NWE,0,0.08627046629338793
BeliBi0,2003,NWE,0,0.17423206761979326
BeliBi0,2004,NWE,0,0.13619936164101556
BeliBi0,2005,NWE,0,0.21270775181997015
BeliBi0,2006,NWE,0,0.07993962977135552
BeliBi0,2007,NWE,0,0.06016457892365493
BeliBi0,2008,NWE,0,0.07332128072985208
BeliBi0,2009,NWE,0,0.09067200186432658
BeliBi0,2010,NWE,0,0.09210668836807591
BeliBi0,2011,NWE,0,0.21571103470614716
BeliBi0,2012,NWE,0,0.16569273503932866
BeliBi0,2013,NWE,0,0.08751175801251443
BeliBi0,2014,NWE,0,0.09513802533423675
BeliBi0,2015,NWE,0,0.15037806763062206
BeliBi0,2016,NWE,0,0.15661040037263513
BeliBi0,2017,NWE,0,0.10067568446616766
BeliBi0,2018,NWE,0,0.11055513219474236
BeliBi0,2019,NWE,0,0.09164759714401267
BeliBi0,2020,NWE,0,0.2270524915622057
BeliBi0,2021,NWE,0,0.1675277616141033
BeliBi0,2022,NWE,0,0.2661602307489867
BeliBi0,2023,NWE,1,0.6284041853802919
